,team_by_entity,week,outcome,avg_score,count_neg,count_pos,count_neutral
315,Jets,2,defeat,-0.0032967037961378204,83,81,196
26,Bears,2,win,0.06933333441615104,26,51,71
468,Seahawks,2,defeat,-0.0024630542605968532,93,101,205
485,Steelers,2,defeat,0.05980392211889909,54,94,154
332,Lions,2,defeat,-0.007284767950410085,73,82,147
112,Buccaneers,2,win,0.15231481629113355,14,89,112
348,Packers,2,win,0.04817073128935767,31,44,86
161,Chiefs,2,defeat,0.06484751276564253,96,186,333
94,Browns,2,win,0.19772727537730878,13,88,74
10,49ers,2,win,0.15652174029661262,10,47,58
77,Broncos,2,win,0.19954128454037762,23,100,92
382,Patriots,2,win,0.08828828899978518,17,41,52
416,Rams,2,win,0.12753623340656792,21,61,54
246,Eagles,2,defeat,0.09039301447993282,37,83,104
536,Vikings,2,defeat,-0.0002409639846847718,96,88,227
400,Raiders,2,win,0.19076923223642203,29,180,178
128,Cardinals,2,win,0.13608247494881914,23,75,94
213,Cowboys,2,win,0.10148305231231754,67,170,231
518,Titans,2,win,0.16147541157046302,45,170,148
43,Bengals,2,defeat,-0.04800000047683716,34,26,65
264,Falcons,2,defeat,0.0141447371999292,55,70,178
280,Giants,2,defeat,-0.02253258891500796,140,104,286
229,Dolphins,2,defeat,-0.0510000001390775,78,53,165
434,Ravens,2,win,0.24788359902483761,49,391,310
11,49ers,3,defeat,0.023300970569976324,34,46,123
452,Saints,3,win,0.1326086970343106,14,59,65
435,Ravens,3,win,0.07114754148194047,48,88,165
129,Cardinals,3,win,0.17228915955287866,4,39,39
366,Panthers,3,win,0.21678571701049804,27,142,110
147,Chargers,3,win,0.12787286133885675,56,153,197
383,Patriots,3,defeat,-0.018750000093132258,41,36,83
349,Packers,3,win,0.07913907345951787,47,92,159
401,Raiders,3,win,0.14242424386920352,33,155,200
417,Rams,3,win,0.19384288928627716,47,236,186
78,Broncos,3,win,0.1134078232935687,23,72,84
95,Browns,3,win,0.1760273982757983,28,126,136
230,Dolphins,3,defeat,0.07292576531135359,34,73,119
333,Lions,3,defeat,-0.0037109374679857865,130,126,248
162,Chiefs,3,defeat,-0.0076655051849444985,123,116,331
247,Eagles,3,defeat,-0.012461060002399754,86,85,145
537,Vikings,3,win,0.2194805210738471,18,118,91
214,Cowboys,3,win,0.1639468706508063,50,236,235
44,Bengals,3,win,0.1635838166912856,16,73,84
265,Falcons,3,win,0.06380952355407533,15,29,58
281,Giants,3,defeat,-0.04816754045286728,59,32,96
519,Titans,3,win,0.19506173074981312,5,39,37
469,Seahawks,3,defeat,-0.0077519380422525624,61,54,140
299,Jaguars,3,defeat,0.0565217398646949,12,25,31
502,Texans,3,defeat,-0.018354430747560307,33,37,86
197,Commanders,3,defeat,0.0609375013737008,11,19,31
27,Bears,3,defeat,-0.06657534292707705,107,57,195
486,Steelers,3,defeat,-0.011388889286253187,84,86,184
62,Bills,3,win,0.1527559067320636,13,50,63
113,Buccaneers,3,defeat,0.05637583986624775,55,97,144
179,Colts,3,defeat,0.008000000536441803,22,27,76
316,Jets,3,defeat,-0.057471264688961805,94,55,194
282,Giants,4,win,0.15992647236870491,28,123,117
114,Buccaneers,4,win,0.10000000397364299,0,1,1
402,Raiders,4,defeat,0.03333333134651184,1,2,2
231,Dolphins,4,defeat,-0.055555557625161275,5,3,10
163,Chiefs,4,win,0.08738317890702008,30,70,112
12,49ers,4,defeat,0.13333333200878567,1,3,5
248,Eagles,4,defeat,0.048500000610947606,41,67,88
384,Patriots,4,defeat,0.17692308242504412,1,5,7
334,Lions,4,defeat,0.10000000024835269,1,2,3
300,Jaguars,4,defeat,0.05672514660839449,32,59,78
266,Falcons,4,defeat,0.020000000298023225,1,2,2
350,Packers,4,win,0.07500000298023224,0,1,3
317,Jets,4,win,0.17523584989303687,48,190,184
198,Commanders,4,win,0.1666666716337204,0,2,1
367,Panthers,4,defeat,0.11385135259479284,34,118,143
148,Chargers,4,win,0.1999999996688631,2,4,3
215,Cowboys,4,win,0.18260135326685534,53,263,269
180,Colts,4,win,0.11538461939646648,1,7,5
130,Cardinals,4,win,0.24000000208616257,1,9,5
520,Titans,4,defeat,-0.008181818540800702,46,47,125
96,Browns,4,win,0.10669291450634716,30,88,132
45,Bengals,4,win,0.22613636531274428,23,171,156
79,Broncos,4,defeat,0.049999999503294625,0,1,5
470,Seahawks,4,win,0.13846154052477616,1,5,7
436,Ravens,4,win,0.05454545468091965,1,3,7
487,Steelers,4,defeat,-0.1444444474246767,4,2,3
63,Bills,4,win,0.17500000074505806,1,5,6
538,Vikings,4,defeat,0.022666666358709335,30,42,75
453,Saints,4,defeat,0.011574074384514932,45,58,111
418,Rams,4,defeat,0.08750000223517418,1,2,5
503,Texans,4,defeat,-0.024999999751647312,5,4,3
28,Bears,4,win,-0.033333333830038704,0,0,3
521,Titans,5,win,0.0833333358168602,1,2,3
149,Chargers,5,win,0.022222223381201427,1,3,5
351,Packers,5,win,0.13333332786957422,1,2,2
504,Texans,5,defeat,-0.08749999990686774,4,1,11
80,Broncos,5,defeat,0.16000000536441802,0,1,4
46,Bengals,5,defeat,-0.020000000298023225,1,0,4
335,Lions,5,defeat,0.049999998261531196,4,3,5
64,Bills,5,win,0.11333333477377891,2,12,16
471,Seahawks,5,defeat,0.024999997578561306,4,5,7
164,Chiefs,5,defeat,0.16000000312924384,1,15,14
267,Falcons,5,win,0.1250000037252903,1,3,0
454,Saints,5,win,0.1285714294229235,1,3,3
13,49ers,5,defeat,-0.033333336313565574,2,1,3
318,Jets,5,defeat,-0.07777777728107241,3,2,4
199,Commanders,5,defeat,-0.07777777976459926,5,1,3
488,Steelers,5,win,0.4249999914318323,0,2,2
181,Colts,5,defeat,0.07142857142857142,4,6,4
301,Jaguars,5,defeat,-0.12222222280171183,7,6,4
115,Buccaneers,5,win,0.30000000447034836,0,5,3
29,Bears,5,win,0.07777777728107241,1,2,6
403,Raiders,5,defeat,0.10833333743115266,1,3,7
232,Dolphins,5,defeat,0.2181818194010041,1,6,4
419,Rams,5,win,0.30000000447034836,0,4,0
385,Patriots,5,win,0.03333333507180214,0,1,4
539,Vikings,5,win,0.11666666840513547,1,2,3
131,Cardinals,5,win,0.25000000223517416,0,6,4
249,Eagles,5,win,0.05454545400359414,1,5,5
97,Browns,5,defeat,0.11000000312924385,1,3,6
283,Giants,5,defeat,-0.13333333532015482,2,0,4
437,Ravens,5,win,0.16999999918043612,3,12,5
216,Cowboys,5,win,0.11875000223517418,1,5,10
368,Panthers,5,defeat,0.2000000074505806,0,2,3
65,Bills,6,defeat,0.12857142889073916,0,4,10
386,Patriots,6,defeat,0.08333333333333333,0,1,5
489,Steelers,6,win,0.2785714247397014,1,6,6
233,Dolphins,6,defeat,0.13750000204890966,1,3,4
182,Colts,6,win,0.20909091694788498,1,6,4
200,Commanders,6,defeat,0.05000000074505806,0,0,2
369,Panthers,6,defeat,0.11250000260770321,1,5,2
438,Ravens,6,win,0.08000000193715096,4,9,7
540,Vikings,6,win,-0.014285714498588018,4,4,13
116,Buccaneers,6,win,0.043750000186264515,2,3,11
30,Bears,6,defeat,-0.010000000149011612,3,2,5
505,Texans,6,defeat,-0.05714285533343043,3,3,8
302,Jaguars,6,win,0.20000000447034835,0,2,3
150,Chargers,6,defeat,0.0749999969266355,5,6,5
352,Packers,6,win,0.01250000111758709,3,3,2
404,Raiders,6,win,-0.1375000039115548,4,0,4
217,Cowboys,6,win,0.22500000055879354,1,4,3
336,Lions,6,defeat,-0.29999999795109034,5,1,2
250,Eagles,6,defeat,0.08064516297271175,3,12,16
81,Broncos,6,defeat,-0.17500000819563866,2,0,2
98,Browns,6,defeat,0.05000000234161105,2,6,6
284,Giants,6,defeat,-0.10000000397364299,2,1,0
132,Cardinals,6,win,0.1461538431736139,2,4,7
420,Rams,6,win,0.20000000298023224,0,1,0
165,Chiefs,6,win,0.020000000298023225,0,0,5
472,Seahawks,6,defeat,-0.04285713604518345,2,3,2
47,Bengals,6,win,0.2666666644314925,0,4,2
522,Titans,6,win,0.1900000050663948,1,6,3
268,Falcons,7,win,0.20909091152928092,1,6,4
234,Dolphins,7,defeat,-0.014285717691693987,1,1,5
506,Texans,7,defeat,0.06000000238418579,0,1,4
201,Commanders,7,defeat,0.14285714817898615,1,5,1
48,Bengals,7,win,0.25000000101598824,1,11,9
251,Eagles,7,defeat,0.236363638531078,1,7,3
523,Titans,7,win,0.1235294149202459,1,7,8
319,Jets,7,defeat,0.08500000014901161,4,7,8
455,Saints,7,win,0.11000000312924385,1,4,5
117,Buccaneers,7,win,0.16666666915019354,0,1,2
405,Raiders,7,win,0.07500000018626451,0,1,7
387,Patriots,7,win,0.2500000037252903,1,6,7
421,Rams,7,win,0.18000000417232515,1,2,2
99,Browns,7,win,0.20000000038872595,1,11,11
133,Cardinals,7,win,0.22307692640102827,1,9,3
370,Panthers,7,defeat,-0.10000000149011612,0,0,1
439,Ravens,7,defeat,0.07500000049670537,6,10,6
353,Packers,7,win,-0.15000000409781933,2,1,1
285,Giants,7,win,0.06666666020949681,1,2,3
82,Broncos,7,defeat,0.0,1,1,6
31,Bears,7,defeat,-0.2000000009482557,6,0,5
166,Chiefs,7,defeat,0.010526316730599655,4,4,11
473,Seahawks,7,defeat,-0.17777778125471538,6,0,3
183,Colts,7,win,0.1444444465968344,1,5,3
337,Lions,7,defeat,0.08333333333333333,2,6,4
14,49ers,7,defeat,0.05000000260770321,1,1,2
338,Lions,8,defeat,0.04615384798783522,3,4,6
507,Texans,8,defeat,-0.12916666890184084,10,2,12
490,Steelers,8,win,-2.128737313406808e-09,2,2,3
388,Patriots,8,win,0.20000000223517417,1,6,2
303,Jaguars,8,defeat,0.5,0,2,0
235,Dolphins,8,defeat,-0.012500002048909664,3,5,8
422,Rams,8,win,0.11428571598870414,0,4,3
320,Jets,8,win,0.03333333465788099,1,2,6
371,Panthers,8,win,0.1600000023841858,1,1,3
474,Seahawks,8,win,0.10000000284476714,1,3,7
541,Vikings,8,defeat,-0.18749999906867743,3,0,5
354,Packers,8,win,0.29000000208616256,1,7,2
269,Falcons,8,defeat,-0.1,1,0,4
456,Saints,8,win,0.01333333154519399,4,2,9
252,Eagles,8,win,0.05000000447034836,1,3,2
524,Titans,8,win,0.19166666641831398,1,5,6
15,49ers,8,win,0.033333333830038704,0,0,3
286,Giants,8,defeat,0.008333334078391394,3,4,5
202,Commanders,8,defeat,-0.037500000558793545,3,4,9
167,Chiefs,8,win,-0.15000000596046448,1,0,3
49,Bengals,8,defeat,-0.010000002384185792,3,2,5
218,Cowboys,8,win,0.15454545481638474,2,5,4
100,Browns,8,defeat,0.09166666679084301,4,4,4
184,Colts,8,defeat,0.04000000059604645,0,2,13
83,Broncos,8,win,-0.12857143155166081,3,1,9
134,Cardinals,8,defeat,0.3749999972060323,0,5,3
32,Bears,8,defeat,0.3000000019868215,0,2,1
66,Bills,8,win,0.29166666852931183,0,7,5
118,Buccaneers,8,defeat,-0.046666666865348816,5,1,9
151,Chargers,8,defeat,0.016666661947965622,3,1,2
355,Packers,9,defeat,0.0,0,0,2
168,Chiefs,9,win,0.37999999076128005,0,2,3
525,Titans,9,win,0.3124999995343387,0,11,5
508,Texans,9,defeat,-0.14444444328546524,3,0,6
50,Bengals,9,defeat,0.1000000008692344,0,4,8
152,Chargers,9,win,0.10000000273187955,1,3,2
440,Ravens,9,win,0.05000000074505806,1,2,3
270,Falcons,9,win,0.08750000270083547,1,7,8
84,Broncos,9,win,-0.020000002533197402,3,2,5
67,Bills,9,defeat,0.15000000596046448,0,1,3
287,Giants,9,win,0.3333333258827527,0,3,3
457,Saints,9,defeat,0.0684210540432679,1,5,12
101,Browns,9,win,0.1272727298465642,0,3,8
372,Panthers,9,defeat,0.03636363690549677,2,5,4
542,Vikings,9,defeat,-0.09999999031424522,1,2,1
423,Rams,9,defeat,-0.0294117651441518,3,2,12
33,Bears,9,defeat,-0.15999999791383743,3,1,1
16,49ers,9,defeat,0.1666666716337204,0,2,1
253,Eagles,9,defeat,0.28571428997176035,0,5,2
236,Dolphins,9,win,0.20000000794728598,0,3,3
406,Raiders,9,defeat,-0.23333332935969034,1,0,2
219,Cowboys,9,defeat,-0.027272727679122578,2,0,9
321,Jets,9,defeat,-0.08333333084980647,2,2,1
185,Colts,9,win,0.033333333830038704,0,0,3
135,Cardinals,9,win,0.07142857142857142,1,4,2
491,Steelers,9,win,0.020000000298023225,0,1,3
304,Jaguars,9,win,0.16666666915019354,0,1,2
389,Patriots,9,win,0.23999999985098838,0,5,5
120,Cardinals,10,defeat,0.15000000596046448,0,1,1
306,Jets,10,defeat,-0.005000001192092896,3,5,11
86,Browns,10,defeat,-0.03999999910593033,1,1,3
340,Packers,10,win,-0.016666668156782787,3,2,7
187,Commanders,10,win,0.1599999949336052,1,1,3
170,Colts,10,win,-0.012500000186264515,2,2,4
459,Seahawks,10,defeat,-0.17777778373824227,4,1,4
323,Lions,10,win,0.12500000186264515,0,2,2
289,Jaguars,10,defeat,0.10000000149011612,0,1,2
476,Steelers,10,defeat,1.655684577094184e-09,2,3,4
69,Broncos,10,defeat,0.06000000238418579,1,2,6
1,49ers,10,win,0.0625000037252903,1,4,3
425,Ravens,10,defeat,0.17500000447034836,0,2,2
391,Raiders,10,defeat,-0.06153846073609132,2,1,9
255,Falcons,10,defeat,-0.05555555555555555,2,2,5
52,Bills,10,win,0.10555555340316561,2,3,13
374,Patriots,10,win,0.08000000268220901,0,1,4
137,Chargers,10,defeat,0.020000000298023225,1,1,3
527,Vikings,10,win,0.14000000283122063,0,2,6
221,Dolphins,10,win,-0.08000000367561975,5,3,7
103,Buccaneers,10,defeat,0.10000000149011612,1,2,1
442,Saints,10,defeat,-0.06153846360169924,5,2,6
204,Cowboys,10,win,0.027272728356448086,1,3,7
408,Rams,10,defeat,-0.14000000059604645,3,1,1
238,Eagles,10,win,0.1600000038743019,0,5,5
357,Panthers,10,win,0.0800000011920929,0,1,4
510,Titans,10,win,0.038461538461538464,3,3,7
154,Chiefs,10,win,0.07692307634995534,2,3,7
477,Steelers,11,defeat,0.03529411992605995,3,4,10
392,Raiders,11,defeat,0.09259259231664517,3,11,13
171,Colts,11,win,0.10555555795629819,1,5,12
87,Browns,11,win,-0.13333333532015482,1,0,2
324,Lions,11,defeat,-0.10000000149011612,0,0,1
426,Ravens,11,win,0.10000000149011612,0,1,1
375,Patriots,11,win,0.2368421033024788,3,8,7
460,Seahawks,11,defeat,0.016666668156782787,2,4,6
138,Chargers,11,win,0.0947368450854954,4,6,9
341,Packers,11,defeat,0.32500000670552254,1,3,0
358,Panthers,11,defeat,-0.09999999031424522,1,3,0
104,Buccaneers,11,win,-0.019999997317790986,1,1,3
443,Saints,11,defeat,0.15000000223517418,1,2,5
121,Cardinals,11,win,-0.01666666939854622,2,2,2
222,Dolphins,11,win,0.08888889228304227,1,6,10
2,49ers,11,win,0.11250000167638063,0,1,6
528,Vikings,11,win,0.13999999910593033,1,4,5
493,Texans,11,win,0.17857142591050693,2,5,7
53,Bills,11,defeat,-0.04736842332701934,4,4,11
272,Giants,11,defeat,-0.08124999888241291,5,1,9
35,Bengals,11,win,-0.04000000059604645,2,3,15
188,Commanders,11,win,0.2500000049670537,0,3,3
307,Jets,11,defeat,-0.27999999970197675,6,2,2
239,Eagles,11,win,0.26000000536441803,0,7,3
256,Falcons,11,defeat,-0.022222223381201427,2,1,6
18,Bears,11,defeat,0.04285714562450137,1,2,4
290,Jaguars,11,defeat,0.1750000026077032,1,2,1
205,Cowboys,11,defeat,0.15000000223517418,0,1,1
511,Titans,11,defeat,-0.046153847414713636,5,3,5
54,Bills,12,win,0.2428571486047336,0,7,7
88,Browns,12,defeat,0.06153846016296974,2,3,8
19,Bears,12,win,0.20000000298023224,0,1,0
478,Steelers,12,defeat,0.04374999925494194,2,2,12
529,Vikings,12,defeat,-0.10000000397364299,1,0,2
512,Titans,12,defeat,0.30000000074505806,0,2,0
70,Broncos,12,win,0.08000000218550364,1,4,10
273,Giants,12,win,-0.15999999940395354,3,0,7
359,Panthers,12,defeat,-0.033333333830038704,2,1,3
206,Cowboys,12,defeat,0.10000000024835269,2,3,7
257,Falcons,12,win,0.20769231021404266,0,6,7
427,Ravens,12,win,0.07142856929983411,2,4,8
376,Patriots,12,win,0.033333333830038704,1,1,1
444,Saints,12,defeat,0.08749999975164731,5,9,10
139,Chargers,12,defeat,-0.11666667026778062,4,0,8
36,Bengals,12,win,0.1000000010979803,3,6,9
223,Dolphins,12,win,0.2833333338300387,0,4,1
308,Jets,12,win,0.07500000360111396,2,4,6
172,Colts,12,defeat,-0.030000000447034835,3,2,5
409,Rams,12,defeat,-0.07500000111758709,1,0,3
189,Commanders,12,win,0.10000000091699454,3,4,5
3,49ers,12,win,0.8999999761581421,0,1,0
325,Lions,12,defeat,0.14000000059604645,0,2,3
342,Packers,12,win,0.08750000409781933,0,2,6
240,Eagles,12,defeat,-0.009090909226374193,2,1,7
393,Raiders,12,win,0.12307692720339848,0,4,9
494,Texans,12,defeat,-0.08000000640749931,4,2,4
461,Seahawks,12,defeat,0.024999999906867743,4,3,8
105,Buccaneers,12,win,-0.08333333457509677,2,1,3
291,Jaguars,12,defeat,0.18571428848164423,0,4,3
410,Rams,13,win,0.03750000149011612,1,1,6
394,Raiders,13,defeat,0.033333336313565574,1,1,1
122,Cardinals,13,win,0.2777777802613046,0,5,4
377,Patriots,13,win,0.041176472078351414,0,5,12
106,Buccaneers,13,win,0.09000000357627869,0,3,7
530,Vikings,13,defeat,-0.037499996833503246,1,1,6
258,Falcons,13,defeat,0.07500000235935052,0,3,9
224,Dolphins,13,win,0.15000000471870104,0,2,4
241,Eagles,13,win,0.16923077060626104,1,6,6
37,Bengals,13,defeat,0.01666666567325592,1,1,3
274,Giants,13,defeat,-3.725290298461914e-09,2,1,1
140,Chargers,13,win,0.14545454728332433,2,11,9
479,Steelers,13,win,6.51925802230835e-09,2,3,3
309,Jets,13,defeat,0.10000000066227382,1,4,4
173,Colts,13,win,0.11111111359463798,2,6,10
20,Bears,13,defeat,-0.10000000149011612,1,0,1
326,Lions,13,win,0.27142857760190964,0,8,6
4,49ers,13,defeat,1.4901161193847657e-09,2,3,5
71,Broncos,13,defeat,-0.03636363724415952,3,3,15
495,Texans,13,defeat,-0.06315789626617181,13,8,17
292,Jaguars,13,defeat,0.0,0,0,1
190,Commanders,13,win,0.23333333929379782,0,4,2
462,Seahawks,13,win,0.10000000455800225,1,9,7
428,Ravens,13,defeat,0.12000000104308128,1,2,7
55,Bills,13,defeat,0.07272727290789287,6,7,20
207,Cowboys,13,win,0.18695652063774026,3,12,7
445,Saints,13,defeat,-0.02857142686843872,5,6,3
155,Chiefs,13,win,0.2066666622956594,2,5,8
56,Bills,14,defeat,-0.006666665275891622,4,3,8
429,Ravens,14,defeat,-0.02500000037252903,2,1,4
513,Titans,14,win,0.16111111475361717,1,8,9
446,Saints,14,win,0.11428571492433548,2,6,6
89,Browns,14,win,0.2076923084946779,2,7,4
72,Broncos,14,win,0.22000000029802322,1,9,5
463,Seahawks,14,win,0.28571428837520735,0,9,5
496,Texans,14,defeat,-0.01666666443149249,2,2,8
411,Rams,14,win,0.2374999988824129,0,5,3
107,Buccaneers,14,win,0.06000000089406967,2,6,12
38,Bengals,14,defeat,0.2749999985098839,0,3,1
5,49ers,14,win,0.314285720033305,1,4,2
531,Vikings,14,win,0.14999999768204159,4,7,7
480,Steelers,14,defeat,0.17272727530110965,1,7,2
123,Cardinals,14,defeat,0.07500000298023224,1,1,2
343,Packers,14,win,-0.10000000149011612,2,0,4
191,Commanders,14,defeat,0.12857142516544887,0,1,6
327,Lions,14,defeat,-0.07272727110169151,4,3,4
259,Falcons,14,win,0.3600000023841858,0,3,2
360,Panthers,14,defeat,-0.0636363686485724,5,2,4
293,Jaguars,14,defeat,0.0833333358168602,0,2,4
310,Jets,14,defeat,-0.07058823590769488,7,6,4
208,Cowboys,14,win,0.158333333209157,2,9,13
21,Bears,14,defeat,0.0,1,2,3
141,Chargers,14,win,0.22307692238917717,1,8,4
275,Giants,14,defeat,0.020000004768371583,2,4,4
156,Chiefs,14,win,0.09999999798396055,4,6,6
395,Raiders,14,defeat,-0.007999998331069947,6,7,12
39,Bengals,15,win,0.24705882677260568,1,10,6
57,Bills,15,win,0.36666666716337204,0,4,2
157,Chiefs,15,win,0.09473684234054465,1,6,12
192,Commanders,15,defeat,-0.12000000476837158,2,2,1
276,Giants,15,defeat,-0.06363636390729384,2,0,9
447,Saints,15,win,-0.04814815052129604,9,4,14
6,49ers,15,win,0.1374999973922968,1,2,5
361,Panthers,15,defeat,0.31428571684019907,0,4,3
22,Bears,15,defeat,0.07142857249294009,0,2,5
430,Ravens,15,defeat,-0.022222222553359136,1,1,7
90,Browns,15,defeat,-0.07142857249294009,1,1,5
514,Titans,15,defeat,-0.05000000074505806,2,0,4
209,Cowboys,15,win,0.18421052945287605,1,9,9
464,Seahawks,15,defeat,-0.08124999981373549,7,4,5
73,Broncos,15,defeat,0.024999998044222593,3,5,7
497,Texans,15,win,0.08333333333333333,1,2,3
311,Jets,15,defeat,0.17142857504742487,1,6,7
225,Dolphins,15,win,0.261111112518443,1,13,4
242,Eagles,15,win,0.28999999687075617,0,6,4
396,Raiders,15,win,0.12857142835855484,1,3,3
294,Jaguars,15,defeat,-0.09999999962747097,1,0,3
412,Rams,15,win,0.015384616186985603,2,2,8
481,Steelers,15,win,0.2875000024214387,0,5,3
532,Vikings,15,win,0.12500000186264515,0,1,3
344,Packers,15,win,-0.02500000037252903,0,0,4
108,Buccaneers,15,defeat,-0.008333334078391394,2,2,8
142,Chargers,15,defeat,0.1380952401530175,3,7,10
174,Colts,15,win,0.19000000059604644,0,3,6
260,Falcons,15,defeat,-0.13999999910593033,3,1,6
328,Lions,15,win,0.10000000061357722,2,5,10
378,Patriots,15,defeat,-0.09333333571751913,5,2,8
124,Cardinals,15,defeat,0.1000000031458007,0,3,4
175,Colts,16,win,0.13888888764712545,4,7,7
465,Seahawks,16,defeat,0.14999999944120646,1,3,4
193,Commanders,16,defeat,0.21666666803260645,0,6,6
482,Steelers,16,defeat,0.06666666766007741,3,4,11
158,Chiefs,16,win,0.09375000046566129,0,4,12
329,Lions,16,defeat,0.09375000186264515,0,3,13
295,Jaguars,16,defeat,0.4000000059604645,0,1,1
312,Jets,16,win,0.16153846681118011,2,5,5
58,Bills,16,win,0.07142857142857142,0,3,17
74,Broncos,16,defeat,0.09000000208616257,0,3,7
498,Texans,16,win,0.1416666666045785,3,7,14
515,Titans,16,win,0.20666666577259699,1,10,4
277,Giants,16,defeat,-0.1142857154565198,5,3,6
226,Dolphins,16,win,0.2916666616996129,0,7,5
397,Raiders,16,win,0.01250000111758709,2,2,4
243,Eagles,16,win,0.17142856866121292,2,7,5
413,Rams,16,win,0.375,0,2,2
533,Vikings,16,defeat,0.17999999970197678,1,2,2
109,Buccaneers,16,win,0.15000000223517418,0,1,1
125,Cardinals,16,defeat,0.007142857781478337,5,2,7
261,Falcons,16,win,0.03529412080259884,3,6,8
7,49ers,16,defeat,-0.016666668156782787,3,2,1
345,Packers,16,win,0.21428571854318892,0,4,3
23,Bears,16,win,0.21999999657273292,2,5,3
379,Patriots,16,defeat,0.11538461825022331,1,4,8
362,Panthers,16,defeat,-0.1714285718543189,3,1,3
448,Saints,16,defeat,-0.03749999776482582,2,3,3
40,Bengals,16,win,0.17058823958915822,2,8,7
210,Cowboys,16,win,0.2777777786056201,0,9,9
91,Browns,16,defeat,0.08750000316649675,2,4,1
431,Ravens,16,defeat,-0.0071428561849253515,3,4,7
143,Chargers,16,defeat,0.005263157581028186,3,3,13
278,Giants,17,defeat,-0.02857143006154469,2,2,3
296,Jaguars,17,defeat,-0.17142856972558157,3,1,3
194,Commanders,17,defeat,0.009090909226374193,2,1,8
244,Eagles,17,win,0.08181818710132079,1,5,5
499,Texans,17,defeat,0.1285714294229235,0,2,4
516,Titans,17,win,0.22222222139437994,0,6,3
211,Cowboys,17,defeat,0.10476190419424147,3,7,10
41,Bengals,17,win,0.07142857249294009,0,2,5
262,Falcons,17,defeat,-0.17500000167638063,3,0,5
534,Vikings,17,defeat,-0.16666666666666666,1,0,2
59,Bills,17,win,0.12272727286273782,5,12,5
24,Bears,17,win,0.0,0,0,3
92,Browns,17,defeat,-0.19285714785967553,6,2,5
398,Raiders,17,win,0.1111111127667957,1,3,3
110,Buccaneers,17,win,0.0800000011920929,0,1,4
8,49ers,17,win,0.05000000074505806,1,2,1
414,Rams,17,win,0.09166666306555271,2,3,7
126,Cardinals,17,win,0.06666666766007741,1,2,3
380,Patriots,17,win,0.16666666915019354,0,3,2
432,Ravens,17,defeat,0.1333333303531011,1,3,5
363,Panthers,17,defeat,-0.699999988079071,1,0,0
144,Chargers,17,win,0.22999999821186065,1,4,5
449,Saints,17,win,0.3333333407839139,0,6,0
346,Packers,17,win,0.14999999105930328,1,1,2
159,Chiefs,17,defeat,0.045454546131870964,0,1,10
466,Seahawks,17,win,0.24374999944120646,0,8,7
227,Dolphins,17,defeat,0.180000002682209,0,5,5
330,Lions,17,defeat,0.12307692261842582,1,5,6
313,Jets,17,defeat,0.04210526496171951,2,6,11
75,Broncos,17,defeat,0.1799999989569187,0,3,7
176,Colts,17,defeat,0.04000000059604645,0,0,5
483,Steelers,17,win,0.13157895285832255,3,8,7
381,Patriots,18,defeat,-0.36666666716337204,2,0,1
127,Cardinals,18,defeat,0.06666666766007741,0,1,2
314,Jets,18,defeat,-2.838316417875744e-09,5,4,11
